Date,VT(e),Ti,Te,RR,I:E,PEEP,PIP,O2,RSD_VT,RSD_RR,RSD_IE,RSD_PEEP,RSD_PIP,RSD_O2

2024-11-22 15:17:58,610.0,1.02,6.09,8.4,1:5.96,5.1,13.91,21.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22 15:18:06,610.0,1.02,6.09,8.4,1:5.96,5.1,13.91,21.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22 15:18:14,605.0,1.02,4.04,11.9,1:3.94,5.04,13.81,21.1,0.39,17.25,18.01,0.56,0.34,0.0
2024-11-22 15:18:22,511.0,1.03,4.04,11.8,1:3.92,5.12,12.32,21.1,7.23,17.04,20.53,0.59,5.01,0.0
2024-11-22 15:18:31,584.0,1.02,4.04,11.9,1:3.95,4.98,13.5,21.1,6.46,16.21,20.89,1.02,4.48,0.0
2024-11-22 15:18:39,560.0,1.02,4.04,11.9,1:3.97,5.03,12.97,21.1,6.14,15.29,20.58,0.97,4.36,0.0
2024-11-22 15:18:47,576.0,1.02,4.01,11.9,1:3.94,4.95,13.31,21.1,5.69,14.45,20.15,1.19,4.05,0.0
2024-11-22 15:18:55,569.0,1.02,4.04,11.9,1:3.96,5.19,13.22,21.1,5.37,13.7,19.59,1.45,3.82,0.0
2024-11-22 15:19:04,628.0,1.02,4.04,11.9,1:3.95,5.13,14.24,21.1,5.69,13.05,19.05,1.43,4.11,0.0
2024-11-22 15:19:12,661.0,1.02,4.04,11.9,1:3.96,5.1,14.81,21.1,6.61,12.47,18.49,1.37,4.87,0.0
2024-11-22 15:19:20,538.0,1.01,4.04,11.9,1:4.00,4.92,12.76,21.1,6.88,11.96,17.92,1.57,5.0,0.0
2024-11-22 15:19:28,506.0,1.02,4.04,11.9,1:3.97,4.96,11.98,21.1,7.69,11.5,17.41,1.6,5.79,0.0
2024-11-22 15:19:37,634.0,1.02,4.05,11.8,1:3.98,5.26,14.37,21.1,7.74,11.08,16.94,1.89,5.86,0.0
2024-11-22 15:19:45,650.0,1.02,4.04,11.9,1:3.97,5.09,14.7,21.1,7.94,10.71,16.5,1.82,6.07,0.0
2024-11-22 15:19:53,610.0,1.02,4.04,11.9,1:3.95,5.15,13.78,21.1,7.71,10.38,16.11,1.8,5.88,0.0
