Name,Price,link
"All-new Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",29.99,www.amazon.com//all-new-amazon-fire-tv-stick-4k/dp/B0BP9MDCQZ/ref=zg_bs_g_amazon-devices_d_sccl_1/133-8620787-0587239?psc=1
Amazon Echo Pop | Full sound compact smart speaker with Alexa | Charcoal,22.99,www.amazon.com//Introducing-sound-compact-speaker-Charcoal/dp/B09WNK39JN/ref=zg_bs_g_amazon-devices_d_sccl_2/133-8620787-0587239?psc=1
"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",24.99,www.amazon.com//fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_amazon-devices_d_sccl_3/133-8620787-0587239?psc=1
"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",39.99,www.amazon.com//all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_4/133-8620787-0587239?psc=1
"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",34.99,www.amazon.com//All-New-release-Smart-speaker-Charcoal/dp/B09B8V1LZ3/ref=zg_bs_g_amazon-devices_d_sccl_5/133-8620787-0587239?psc=1
"Blink Outdoor 4 (4th Gen) – Wire-free smart security camera, two-year battery life, two-way audio, HD live view, enhanced motion detection, Works with Alexa – 3 camera system",134.99,www.amazon.com//Blink-Outdoor-4th-Gen-3-Camera/dp/B0B1N5FK48/ref=zg_bs_g_amazon-devices_d_sccl_6/133-8620787-0587239?psc=1
"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",19.99,www.amazon.com//fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_g_amazon-devices_d_sccl_7/133-8620787-0587239?psc=1
"Ring Indoor Cam (2nd Gen) | latest generation, 2023 release | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",39.99,www.amazon.com//introducing-the-all-new-Ring-Indoor-Cam/dp/B0B6GLQJMV/ref=zg_bs_g_amazon-devices_d_sccl_8/133-8620787-0587239?psc=1
"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",41.99,www.amazon.com//Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_bs_g_amazon-devices_d_sccl_9/133-8620787-0587239?psc=1
"All-new Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",99.99,www.amazon.com//All-New-Echo-Show-8/dp/B0BLS3Y632/ref=zg_bs_g_amazon-devices_d_sccl_10/133-8620787-0587239?psc=1
"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",29.99,www.amazon.com//Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_amazon-devices_d_sccl_11/133-8620787-0587239?psc=1
"Amazon Echo Dot (5th Gen) with clock | Compact smart speaker with Alexa and enhanced LED display for at-a-glance clock, timers, weather, and more | Cloud Blue",49.99,www.amazon.com//Amazon-Compact-speaker-enhanced-display/dp/B09B8W5FW7/ref=zg_bs_g_amazon-devices_d_sccl_12/133-8620787-0587239?psc=1
"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",114.39,www.amazon.com//Kindle-Paperwhite-16-GB-adjustable/dp/B09TMN58KL/ref=zg_bs_g_amazon-devices_d_sccl_13/133-8620787-0587239?psc=1
"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",69.99,www.amazon.com//Ring-Battery-security-privacy-controls/dp/B0C5QRZ47P/ref=zg_bs_g_amazon-devices_d_sccl_14/133-8620787-0587239?psc=1
"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",104.99,www.amazon.com//Ring-Floodlight-Cam-Wired-Plus/dp/B08F6GPQQ7/ref=zg_bs_g_amazon-devices_d_sccl_15/133-8620787-0587239?psc=1
"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Agave Green",129.99,www.amazon.com//Kindle-Paperwhite-16-GB-adjustable/dp/B09TMZKQR7/ref=zg_bs_g_amazon-devices_d_sccl_16/133-8620787-0587239?psc=1
Ring Chime,34.99,www.amazon.com//Ring-Chime/dp/B09L45VFCN/ref=zg_bs_g_amazon-devices_d_sccl_17/133-8620787-0587239?psc=1
"Amazon Fire 7 Kids tablet, ages 3-7 | With parental controls backed by leading digital safety and family trust experts. 16 GB, Blue",69.99,www.amazon.com//Amazon-Fire-Kids-tablet-Top-selling/dp/B0BLBLRLJB/ref=zg_bs_g_amazon-devices_d_sccl_18/133-8620787-0587239?psc=1
Ring Rechargeable Quick Release Battery Pack,34.99,www.amazon.com//Ring-Rechargeable-Battery-Pack/dp/B076JKHDQT/ref=zg_bs_g_amazon-devices_d_sccl_19/133-8620787-0587239?psc=1
"Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",89.99,www.amazon.com//All-new-Ring-Battery-Doorbell-detection/dp/B09WZBPX7K/ref=zg_bs_g_amazon-devices_d_sccl_20/133-8620787-0587239?psc=1
"Amazon Alexa Voice Remote Pro, includes remote finder, TV controls, backlit buttons, requires compatible Fire TV device",25.75,www.amazon.com//Introducing-alexa-voice-remote-pro/dp/B09RX4HKTD/ref=zg_bs_g_amazon-devices_d_sccl_21/133-8620787-0587239?psc=1
"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black",94.99,www.amazon.com//Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_bs_g_amazon-devices_d_sccl_22/133-8620787-0587239?psc=1
"Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life – Without Lockscreen Ads – Black",149.99,www.amazon.com//kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=zg_bs_g_amazon-devices_d_sccl_23/133-8620787-0587239?psc=1
"Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal",65.99,www.amazon.com//All-new-Echo-Show-5/dp/B09B2SBHQK/ref=zg_bs_g_amazon-devices_d_sccl_24/133-8620787-0587239?psc=1
"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Black",79.99,www.amazon.com//kindle-the-lightest-and-most-compact-kindle/dp/B09SWW583J/ref=zg_bs_g_amazon-devices_d_sccl_25/133-8620787-0587239?psc=1
